author,title
"Derek L. Eager, Michael C. Ferris, Mary K. Vernon",Optimized caching in systems with heterogeneous client populations.
"William Knottenbelt, Peter G. Harrison, Mark Mestern, Pieter S. Kritzinger",A probabilistic dynamic technique for the distributed generation of very large state spaces.
"Allan T. Andersen, Bo Friis Nielsen",On the statistical implications of certain random permutations in Markovian arrival processes (MAPs) and second-order self-similar processes.
"Arthur W. Berger, Ward Whitt",Workload bounds in fluid models with priorities.
"Ivo Adan, Jacques Resing",A two-level traffic shaper for an on-off source.
"Julio Cesar Sampaio do Prado Leite, Graciela D. S. Hadad, Jorge Horacio Doorn, Gladys N. Kaplan",A Scenario Construction Process.
"Chichyang Chen, Rui-Lin Chen, Chih-Huan Yang",Pipelined Computation of Very Large Word-Length LNS Addition/Subtraction with Polynomial Hardware Cost.
"Ramesh C. Tekumalla, Premachandran R. Menon",On Redundant Path Delay Faults in Synchronous Sequential Circuits.
"Hartej Singh, Ming-Hau Lee, G. Lu, Fadi J. Kurdahi, Nader Bagherzadeh, Eliseu M. Chaves Filho","
      "
"Andrea Bondavalli, Silvano Chiaradonna, Felicita Di Giandomenico, Fabrizio Grandoni",Threshold-Based Mechanisms to Discriminate Transient from Intermittent Faults.
"J. N. Coleman, E. I. Chester, C. I. Softley, J. Kadlec",Arithmetic on the European Logarithmic Microprocessor.
Michael Parks,Number-Theoretic Test Generation for Directed Rounding.
Ahmad A. Hiasat,New Efficient Structure for a Modular Multiplier for RNS.
"Bernhard Balkenhol, Stefan Kurtz",Universal Data Compression Based on the Burrows-Wheeler Transformation: Theory and Practice.
"Tei-Wei Kuo, Aloysius K. Mok",Real-Time Data Semantics and Similarity-Based Concurrency Control.
Jean-Luc Gaudiot,Editor's Note.
"Marc Joye, Sung-Ming Yen",Optimal Left-to-Right Binary Signed-Digit Recoding.
"Laura Heinrich-Litan, Paul Molitor",Least Upper Bounds for the Size of OBDDs Using Symmetry Properties.
"Monica Brockmeyer, Farnam Jahanian, Constance L. Heitmeyer, Elly Winner","A Flexible, Extensible Simulation Environment for Testing Real-Time Specifications."
"Lin-Wen Lee, Peter Scheuermann, Radek Vingralek",File Assignment in Parallel I/O Systems with Minimal Variance of Service Time.
"Yi-Bing Lin, Wei-Ru Lai, Rong-Jaye Chen",Performance Analysis for Dual Band PCS Networks.
"Li Sheng, Jie Wu",A Note on 'A Tight Lower Bound on the Number of Channels Required for Deadlock-Free Wormhole Routing'.
Satoshi Fujita,Neighborhood Information Dissemination in the Star Graph.
"Alpesh Patel, Anthony J. Kusalik, Carl McCrosky",Area-Efficient VLSI Layouts for Binary Hypercubes.
"Günther Greiner, Roberto Grosso",Hierarchical tetrahedral-octahedral subdivision for volume visualization.
"Frank R. Lehmann, Erich Ortner",Vorgehensweise beim Fachentwurf von Workflow-Management-Anwendungen mit einem Repositorium.
"Oliver Wendt, Falk von Westarp, Wolfgang König","Diffusionsprozesse in Märkten für Netzeffektgüter - Determi-nanten, Simulationsmodell und Marktklassifikation."
"Wolfgang König, Anja Hoffmann, Sandrine Talbot","Interview on the ""brain train"" of IT specialists into the US."
"Matthias Maier, Karl Kronewald, Peter Mertens",Vernetzte Jobbörsen und Unternehmensnetzwerke - eine Vision.
"Roul Oldenburger, Edgar Thiel","5. SQM-Kongress ""Software-Qualitätsmanagement"", 1. ICSTEST ""International Conference on Software Testing"" in Bonn - Studierende berichten über ihre Teilnahme."
"Michael Zapf, Armin Heinzl",Ansätze zur Integration von Petri-Netzen und objektorientierten Konzepten.
"Matthias Enzmann, Henning Pagnia, Rüdiger Grimm",Das Teledienstedatenschutzgesetz und seine Umsetzung in der Praxis.
"Peter Mertens, Volker Jung",Interview.
"Marc Piser, Martin Reinecke, Carsten Wurl, Marcus Zschuckelt, Norbert Gronau",Studenten versus Berater? - Erfahrungsbericht einer PPS-Einführung durch Studenten.
Marcus Wefers,Strategische Unternehmensführung mit der IV-gestützten Balanced Scorecard.
René Brzezinski,"""E-Business Strategy: Connecting the Automobile Industry to the Digital Marketplace"" - Erfahrungen aus einem Rollenspiel-basierten Workshop."
"Robert Klepper, Norton Hoffman",Assimilation of new information technology and organizational culture: a case study.
"Ute Häusler, Andreas Schmietendorf, Birte Weinheimer",Innerbetriebliche Umschulung zur Gewinnung von Personal für den Bereich der Softwareentwicklung.
"Günter Müller, Kevin S. McCurley",Interview.
Wolfgang König,"WI-Sonderheft ""IT und Personal""."
Norbert Luttenberger,Sicherer mobiler Dienstezugang - Gastarbeitsplätze in Intranets.
"Nathalie Farenc, Soraia Raupp Musse, Elsa Schweiss, Marcelo Kallmann, Olivier Aune, Ronan Boulic, Daniel Thalmann",A Paradigm for Controlling Virtual Humans in Urban Environment Simulations.
"Vladimír Marík, Michal Pechoucek, Olga Stepánková, Jirí Lazanský",PROPLANT: Multiagent System for Production Planning.
Jaap Hage,"Donald Nute (ed.), Defeasible Deontic Logic."
Bart Verheij,Henry Prakken (1997). Logical Tools for Modelling Legal Argument. A Study of Defeasible Reasoning in Law.
"Lisa Meeden, Alan Schultz, Tucker R. Balch, Rahul Bhargava, Karen Zita Haigh, Marc Bohlen, Cathryne Stein, David Miller",The AAAI 1999 Mobile Robot Competitions and Exhibitions.
Adnan Darwiche,Model-Based Diagnosis under Real-World Constraints.
"Ramasamy Uthurusamy, Barbara Hayes-Roth",The Eleventh Innovative Applications of Artificial Intelligence Conference (IAAI-99).
"Elisabeth André, Kim Binsted, Kumiko Tanaka-Ishii, Sean Luke, Gerd Herzog, Thomas Rist",Three RoboCup Simulation League Commentator Systems.
Jonathan Campbell,"Shaogang Gong, Stephen J. McKenna, Alexandra Psarrou, Dynamic Vision: From Images to Face Recognition - Review."
James H. Martin,Representing UNIX Domain Metaphors.
"Piew Datta, Brij M. Masand, D. R. Mani, Bin Li",Automated Cellular Modeling and Prediction on a Large Scale.
"Robert Wilensky, David N. Chin, Marc Luria, James H. Martin, James Mayfield, Dekai Wu",The Berkeley UNIX Consultant Project.
"Stephen J. Hegner, Paul McKevitt, Peter Norvig, Robert Wilensky",Editorial Intelligent Help Systems for UNIX: Natural Language Dialogue.
William J. Clancey,Desert Island Column: Marooned on Mars: Mind-Spinning Books for Software Engineers.
"Bashar Nuseibeh, David F. Redmiles",Introduction to Special Issue.
"Kurt Stirewalt, Spencer Rugaber",The Model-Composition Problem in User-Interface Generation.
Mike Pagel,Phylogenetic-evolutionary Approaches to Bioinformatics.
"Igor B. Rogozin, G. V. Glazko, M. V. Glazkov",Computer Prediction of Sites Associated with Various Elements of the Nuclear Matrix.
"Thangavel Alphonse Thanaraj, Alan J. Robinson, J. Muila, Jean-Jack M. Riethoven",Editorial.
Kay Hofmann,Sensitive Protein Comparisons with Profiles and Hidden Markov Models.
"Christian Schönbach, P. Kowalski-Saunders, Vladimir Brusic",Data Warehousing in Molecular Biology.
"K. Jha, B. Gurumoorthy",Automatic propagation of feature modification across domains.
"Srinivas Raghothama, Vadim Shapiro",Consistent updates in dual representation systems.
"Benachir Medjdoub, Bernard Yannou",Separating topology and geometry in space planning.
"Antonio Diaz-Calderon, Christiaan J. J. Paredis, Pradeep K. Khosla",Automatic generation of system-level dynamic equations for mechatronic systems.
Ben Delaney,Painting With Light.
"James C. Rodger, Roger A. Browse",Choosing Rendering Parameters for Effective Communication of 3D Shape.
James F. Blinn,Polynomial Discriminants-Part 1: Matrix Magic.
Jan Krikke,Axonometry: A Matter of Perspective.
"Bernd Fröhlich, John Plate, Jürgen Wind, Gerold Wesche, Martin Göbel",Cubic-Mouse-Based Interaction in Virtual Environments.
"Sabine Coquillart, David J. Duke",Editorial.
"Haixia Du, Hong Qin",Direct Manipulation and Interactive Sculpting of PDE Surfaces.
"Marco Tarini, Paolo Cignoni, Claudio Rocchini, Roberto Scopigno","Real Time, Accurate, Multi-Featured Rendering of Bump Mapped Surfaces."
"Fausto Bernardini, James T. Klosowski, Jihad El-Sana",Directional Discretized Occluders for Accelerated Occlusion Culling.
Jérôme Maillot,Real Time Local Approximation of Deformations using Rotations.
"László Neumann, Balázs Csébfalvi, Andreas König, Eduard Gröller",Gradient Estimation in Volume Data using 4D Linear Regression.
"W. F. H. Jimenez, C. Esperança, Antonio A. F. Oliveira",Efficient Algorithms for Computing Conservative Portal Visibility Information.
"Oleg Veryovka, John W. Buchanan",Texture-based Dither Matrices.
"Revital Dafner, Daniel Cohen-Or, Yossi Matias",Context-based Space Filling Curves.
Svetlana A. Kravchenko,On the complexity of minimizing the number of late jobs in unit time open shop.
"Gerard Sierksma, Ruud H. Teunter",Partial monotonizations of Hamiltonian cycle polytopes: dimensions and diameters.
Satoru Fujishige,A laminarity property of the polyhedron described by a weakly posi-modular set function.
Zhi-Hong Sun,Congruences concerning Bernoulli numbers and Bernoulli polynomials.
K. J. Horadam,An introduction to cocyclic generalised Hadamard matrices.
"Hanif D. Sherali, Jonathan C. Smith, Warren P. Adams","Reduced first-level representations via the reformulation-linearization technique: results, counterexamples, and computations."
"Bang Ye Wu, Kun-Mao Chao, Chuan Yi Tang",Approximation algorithms for some optimum communication spanning tree problems.
"Jesús Mario Bilbao, Paul H. Edelman",The Shapley value on convex geometries.
"Kenji Kashiwabara, Bunpei Nakano",Envelopes and clutters.
"Grant A. Cheston, Stephen T. Hedetniemi, Arthur L. Liestman, J. B. Stehman",The even adjacency split problem for graphs.
"Lorenzo Brunetta, Michele Conforti, Matteo Fischetti",A polyhedral approach to an integer multicommodity flow problem.
"Laxmi Parida, Bud Mishra",Partitioning single-molecule maps into multiple populations: algorithms and probabilistic analysis.
"Koichi Shinoda, Mieko Yamada",A family of Hadamard matrices of dihedral group type.
"Pavol Gvozdjak, Peter Horák, Mariusz Meszka, Zdzislaw Skupien",On the Strong Chromatic Index of Cyclic Multigraphs.
"Lucian Ilie, Gheorghe Paun, Grzegorz Rozenberg, Arto Salomaa",On strongly context-free languages.
"Andreas Brandstädt, Van Bang Le",Recognizing the P
"Martin Charles Golumbic, Moshe Lewenstein",New results on induced matchings.
"Norbert Klasner, Hans-Ulrich Simon",General lower bounds on the query complexity within the exact learning model.
"Heping Zhang, Fuji Zhang",Plane elementary bipartite graphs.
"Fred S. Roberts, Li Sheng",Phylogeny numbers for graphs with two triangles.
"A. Halbutogullari, Çetin Kaya Koç",Parallel Multiplication in using Polynomial Residue Arithmetic.
"Ari Juels, Marcus Peinado",Hiding Cliques for Cryptographic Security.
Jacques Wolfmann,Difference Sets in Z
"Ralf Gramlich, Hendrik Van Maldeghem",Epimorphisms of Generalized Polygons Part 1: Geometrical Characterizations.
Andries E. Brouwer,Locally Paley Graphs.
"Yury J. Ionin, Mohan S. Shrikhande",Strongly Regular Graphs and Designs with Three Intersection Numbers.
Jerome A. Solinas,Efficient Arithmetic on Koblitz Curves.
"Jeffrey H. Dinitz, E. R. Lamken",HOPs and COPs: Room frames with partitionable transversals.
"Sylvia B. Encheva, Gérard D. Cohen",Linear Codes and Their Coordinate Ordering.
"H. Burgiel, D. Stanton","Realizations of Regular Abstract Polyhedra of Types {3, 6} and {6, 3}."
"Raul Cordovil, Komei Fukuda, A. Guedes de Oliveira",On the Cocircuit Graph of an Oriented Matroid.
"H. Okumura, J. F. Rigby",A Double Tiling of Triangles and Regular Hexagons.
Joachim Giesen,"Curve Reconstruction, the Traveling Salesman Problem, and Menger's Theorem on Length."
"B. Guiduli, M. Rosenfeld",Ubiquitous Angles in Equiangular Sets of Lines.
J. Lawrence,Mutation Polynomials and Oriented Matroids.
Rolf Schneider,Mixed Functionals of Convex Bodies.
D. Schattschneider,Unilateral and Equitransitive Tilings by Squares.
Van H. Vu,On The Choice Number Of Random Hypergraphs.
Yoav Seginer,The Expected Norm Of Random Matrices.
Marianne Månsson,On Compound Poisson Approximation For Sequence Matching.
Benjamin Doerr,Linear And Hereditary Discrepancy.
"Noga Alon, Miklós Bóna, Joel Spencer",Packing Ferrers Shapes.
"Alan M. Frieze, Lei Zhao",Optimal Construction Of Edge-Disjoint Paths In Random Regular Graphs.
"Gregory F. Lawler, Emily E. Puckette",The Intersection Exponent For Simple Random Walk.
Nick Koudas,Indexing support for spatial joins.
"Tolety Siva Perraju, B. E. Prasad",An Algorithm for Maintaining Working Memory Consistency in Multiple Rule Firing Systems.
Adnan H. Yahya,Minimal model generation for refined answering of generalized queries in disjunctive deductive databases.
"Jitian Xiao, Yanchun Zhang, Xiaohua Jia, Xiaofang Zhou",A schedule of join operations to reduce I/O cost in spatial database systems.
"Kalervo Järvelin, Timo Niemi, Airi Salminen",The visual query language CQL for transitive and relational computation.
"Stephen Paynter, Jim Armstrong, Jan Haveman",ADL: An Activity Description Language for Real-Time Networks.
Mike Holcombe,What are X-Machines?
"Rajeev Joshi, Jayadev Misra",Maximally Concurrent Programs.
"Kaisa Sere, Marina A. Waldén",Data Refinement of Remote Procedures.
"Vahur Kotkas, Peep Küngas, Mait Harf",The Cash-Point Service in NUT.
"Alessandro Maccari, Claudio Riva",Empirical Evaluation of CASE Tools Usage at Nokia.
Walter F. Tichy,Hints for Reviewing Empirical Work in Software Engineering.
"Andrew Brooks, Fredrik Utbult, Catherine Mulligan, D. Ross Jeffery","Early Lifecycle Work: Influence of Individual Characteristics, Methodological Constraints, and Interface Constraints."
Warren Harrison,Editorial An Issue of Ethics: Responsibilities and Obligations of Empirical Software Engineering Researchers.
Johanna E. Cena,"Bridging Gaps Between Cultures, Classrooms and Schools."
Dirk Morrison,Distance Training: How Innovative Organizations are using Technology to Maximize Learning and Meet Business Objectives.
"Kara M. Dawson, Cheryl L. Mason, Philip Molebash",Results of a telecollaborative activity involving geographically disparate preservice teachers.
"Victoria Hay, Dennis Isbell","Parallel On-Line and In-Class Sections of ""Writing for the Professions"": A Practical Experiment."
Wendy Lowe,Transactional distance theory as a foundation for developing innovative and reactive instruction.
"William Kordsmeier, Rebecca Gatlin-Watts, Joseph V. Arn",University Administrators' Understanding of Multimedia Copyright Guidelines.
Kevin Casey,Towards a Lifelong Learning Culture in Canada.
"Maria Chiara Pettenati, Omar Abou Khaled, Christine Vanoirbeek, Dino Giuli",The Learning Tutor: A Web based Authoring System to Support Distance Tutoring.
Vanessa Paz Dennen,Task Structuring for On-line Problem Based Learning: A Case Study.
Brent Muirhead,Enhancing Social Interaction in Computer-Mediated Distance Education.
"Paola Forcheri, Maria Teresa Molfino, Alfonso Quarati",ICT Driven Individual Learning: New Opportunities and Perspectives.
"Carlos José M. Olguín, Armando Luiz N. Delgado, Ivan Luiz Marques Ricarte",An Agent Infrastructure to set Collaborative Environments.
"Malcolm Shaw, Suzanne Corazzi",Avoiding holes in holistic evaluation.
Martha A. Sanchez,The Virtual School House.
"Trude Heift, Catherine Caws",Peer Feedback in Synchronous Writing Environments: A Case Study in French.
"Padma G. Anand, Adi Zaimi",Computer-managed Instruction: Evaluation of Alternate Methods of Technology Integration in Higher Education.
"Charles Anderson, Kate Day, Jeff Haywood, Ray Land, Hamish Macleod",Mapping the Territory: issues in evaluating large-scale learning technology initiatives.
"Ann Jones, Eileen Scanlon, Canan Tosunoglu Blake",Conferencing in communities of learners: examples from social history and science communication.
"Ashok Patel, Kinshuk, David Russell",Intelligent Tutoring Tools for Cognitive Skill Acquisition in Life Long Learning.
"Alan P. Maddocks, Willy D. Sher, Andrew Wilson",A Web-based personal and professional development tool to promote life-long learning within the construction industry.
Gene E. Fusch,Breaking Down Perceived Barriers to Lifelong Learning.
L. O. Murga,A Tutoring System for Solving Graph Problems.
Ignacio Aedo,Educational Software Cooperative (ESC).
Gunther Guzielski,Multimedia-Multicast - Plattform für neue Dienste.
Wilfried Schmitz,IT-Sicherheitskonzepte im E-Business.
"Franz Steffens, Carsten Dorrhauer, Andrej Zlender",Usability-Test ausgewählter Geschäftsprozesse.
"Karsten Erxleben, Andreas Gebauer",EnjoySAP - Erfolgsfaktoren für die Einführung eines benutzerorientierten Software-Entwicklungsprozesses.
"Matthias Kloppmann, Frank Leymann, Dieter Roller",Enterprise Application Integration mit Workflow Management.
"Oliver Tibus, Bernhard Pompl",IT-Consulting in der Praxis.
"Mario Crameri, Roberto Di Paolo, Roland Bartl, Toby Ryser",Integration heterogener Datenbanken im E-Banking.
"Stephanie Teufel, Thomas Schlienger",Informationssicherheit - Wege zur kontrollierten Unsicherheit.
Stefan Meinhardt,Editorial.
"Hans-Gerhard Gross, B. F. Jones, D. E. Eyres",Structural performance measure of evolutionary testing applied to worst-case timing of real-time systems.
"Alexander Egyed, Nenad Medvidovic, Cristina Gacek",Component-based perspective on software mismatch detection and resolution.
"Peter Geibel, Fritz Wysotzki",Graphbasierte Lernverfahren für relationale Daten.
Kai Rannenberg,"Electronic Commerce und Mehrseitige Sicherheit: Baustellen, Fortschritte und Perspektiven."
"Dirk Meyerhoff, Michael Timpe, Dirk Huberty",Qualitäsziele und Testaufgaben im Internet.
"Judith Gebauer, Markus Raupp",Zwischenbetriebliche elektronische Katalogsysteme: Netzwerkstrategische Gestaltungsoptionen und Erfolgsfaktoren.
"Amihood Amir, Dmitry Keselman, Gad M. Landau, Moshe Lewenstein, Noa Lewenstein, Michael Rodeh",Text Indexing and Dictionary Matching with One Error.
Kaihong Xu,The Asymptotic Worst-Case Behavior of the FFD Heuristic for Small Items.
"Jeannette Janssen, Danny Krizanc, Lata Narayanan, Sunil M. Shende",Distributed Online Frequency Assignment in Cellular Networks.
"Ajai Kapoor, Romeo Rizzi",Edge-Coloring Bipartite Graphs.
"Pascal Berthomé, Torben Hagerup, Ilan Newman, Assaf Schuster",Self-Simulation for the Passive Optical Star.
"Franz Höfting, Egon Wanke",Polynomial-Time Analysis of Toroidal Periodic Graphs.
"Michael T. Goodrich, Christopher G. Wagner",A Framework for Drawing Planar Graphs with Curves and Polylines.
Marek A. Suchenek,Evaluation of Queries under Closed-World Assumption. Part II: The Hierarchical Case.
"Wolfgang Küchlin, Carsten Sinz",Proving Consistency Assertions for Automotive Product Data Management.
Fabio Massacci,Single Step Tableaux for Modal Logics.
"Reece Hart, Ajay K. Royyuru, Gustavo Stolovitzky, Andrea Califano",Systematic and Fully Automated Identification of Protein Sequence Patterns.
"Ognyan Stoyanov, Alexander Kister, Israel Gelfand, Casimir A. Kulikowski, Cyrus Chothia",Geometric Invariant Core for the CL and CH1 Domains of Immunoglobulin Molecules.
"Scott C. Schmidler, Jun S. Liu, Douglas L. Brutlag",Bayesian Segmentation of Protein Secondary Structure.
"Igor N. Berezovsky, Natalia G. Esipova, Vladimir Tumanyan",Hierarchy of Regions of Amino Acid Sequence with Respect to Their Role in the Protein Spatial Structure.
"Zheng Zhang, Scott Schwartz, Lukas Wagner, Webb Miller",A Greedy Algorithm for Aligning DNA Sequences.
"Dirk Faulhammer, Richard J. Lipton, Laura F. Landweber",Fidelity of Enzymatic Ligation for DNA Computing.
"M. F. O'Donohue, E. Minasian, Simon Joshua Leach, A. W. Burgess, Herbert R. Treutlein",PEPCAT - A new tool for conformational analysis of peptides.
"Jordi Villá, Jörg Bentzien, Àngels González-Lafont, José M. Lluch, Juan Bertran, Arieh Warshel",Effective way of modeling chemical catalysis: Empirical valence bond picture of role of solvent and catalyst in alkylation reactions.
"Jana Khandogin, Anguang Hu, Darrin M. York",Electronic structure properties of solvated biomolecules: A quantum approach for macromolecular characterization.
"Ramón Bosque, Feliu Maseras",Performance of the semiempirical PM3 (tm) method in the geometry optimization of transition metal complexes.
"Robert J. Bubel, Warthen Douglass, David P. White",Molecular mechanics-based measures of steric effects: Customized code to compute Ligand repulsive energies.
"András Perczel, Attila G. Császár",Toward direct determination of conformations of protein building units from multidimensional NMR experiments I. A theoretical case study of For-Gly-NH2 and For-L-Ala-NH2.
Nenad Raos,Iterative method for finding the low-energy conformations based on the concept of molecular volumes.
"Cristobal Alhambra, Jiali Gao",Hydrogen-bonding interactions in the active site of a low molecular weight protein-tyrosine phosphatase.
"Hon M. Chun, Carlos E. Padilla, Donovan N. Chin, Masakatsu Watanabe, Valeri I. Karlov, Howard E. Alper, Keto Soosaar, Kim B. Blair, Oren M. Becker, Leo S. D. Caves, Robert Nagle, David N. Haney, Barry L. Farmer",MBO(N)D: A multibody method for long-time molecular dynamics simulations.
"Fatih Yaar, Tarik Çelik, Bernd A. Berg, Hagai Meirovitch",Multicanonical procedure for continuum peptide models.
"Stuart R. Gooding, Peter J. Winn, Richard I. Maurer, György G. Ferenczy, John R. Miller, Jayne E. Harris, D. Vaughan Griffiths, Christopher A. Reynolds",Fully polarizable QM/MM calculations: An application to the nonbonded iodine-oxygen interaction in dimethyl-2-iodobenzoylphosphonate.
Eugene T. Knight,A radial probability density function for analysis of canonical molecular orbitals.
"C. R. Sarma, A. V. V. Nampoothiri",A labeling scheme for young tableaux spanning representations of permutation group S(N).
"Steven Feldgus, Clark R. Landis, Eric D. Glendening, Frank Weinhold",Natural resonance theory. I. General formalism.
"Markus Pernpointner, Lucas Visscher, W. A. de Jong, Ria Broer","Parallelization of four-component calculations. I. Integral generation, SCF, and four-index transformation in the Dirac-Fock package MOLFDIR."
David L. Armbruster,Issues of online research repositories from the perspective of the biomedical sciences.
William Hart-Davidson,Confessions of a gardener: a review of information ecologies.
"Daniel J. Rosenkrantz, Giri Kumar Tayi, S. S. Ravi",Facility Dispersion Problems Under Capacity and Cost Constraints.
"Abdo Y. Alfakih, Tongnyoul Yi, Katta G. Murty",Facets of an Assignment Problem with 0-1 Side Constraint.
"Elisa Bertino, Piero A. Bonatti, Elena Ferrari, Maria Luisa Sapino",Temporal Authorization Bases: From Specification to Integration.
Chris Clifton,Using Sample Size to Limit Exposure to Data Mining.
"Vijayalakshmi Atluri, Wei-kuang Huang",A Petri Net Based Safety Analysis of Workflow Authorization Models.
"Adrian Spalka, Armin B. Cremers",Structured Name-Spaces in Secure Databases.
"Frank Schulz, Dorothea Wagner, Karsten Weihe",Dijkstra's Algorithm On-Line: An Empirical Case Study from Public Railroad Transport.
"S.-W. Lee, H.-J. Kim",Rich Base Schema: A Unified Framework for OODB Schema Version Management.
"Jérôme Darmont, M. Schnieder",Benchmarking OODBs with a Generic Tool.
"Jin-yi Cai, Ajay Nerurkar",A note on the non-NP-hardness of approximate lattice problems under general Cook reductions.
Tzung-Shi Chen,Task migration in 2D wormhole-routed mesh multicomputers.
"Alon Efrat, Matthew J. Katz",Computing Euclidean bottleneck matchings in higher dimensions.
Xuehou Tan,On optimal bridges between two convex regions.
"Jacob M. Howe, Andy King",Abstracting numeric constraints with Boolean functions.
"Cao An Wang, Francis Y. L. Chin, Boting Yang",Triangulations without minimum-weight drawing.
"Massimiliano Goldwurm, Massimo Santini",Clique polynomials have a unique root of smallest modulus.
Johan Håstad,On bounded occurrence constraint satisfaction.
Sherali Zeadally,Performance evaluation of a Java-based networking Application Programming Interface (API).
"Ju-Hong Lee, Deok-Hwan Kim, Seok-Lyong Lee, Chin-Wan Chung, Guang-Ho Cha",Distributed similarity search algorithm in distributed heterogeneous multimedia databases.
"Sung Kwon Kim, Chan-Su Shin, Tae-Cheon Yang",Placing two disks in a convex polygon.
"Achour Mostéfaoui, Michel Raynal, Frederic Tronel",From Binary Consensus to Multivalued Consensus in asynchronous message-passing systems.
"Rolf Niedermeier, Peter Rossmanith",A general method to speed up fixed-parameter-tractable algorithms.
Lanfranco Lopriore,Protection in a single-address-space environment.
"Ulrich Hertrampf, Steffen Reith, Heribert Vollmer",A note on closure properties of logspace MOD classes.
"Dimitris J. Kavvadias, Martha Sideri, Elias C. Stavropoulos",Generating all maximal models of a Boolean expression.
Fanica Gavril,Maximum weight independent sets and cliques in intersection graphs of filaments.
"Andreu Riera, Josep Rifà, Joan Borrell",Efficient construction of vote-tags to allow open objection to the tally in electronic elections.
Erkki Mäkinen,On inferring linear single-tree languages.
"Béatrice Bérard, Catherine Dufourd",Timed automata and additive clock constraints.
Enno Ohlebusch,A uniform framework for term and graph rewriting applied to combined systems.
Manfred Göbel,Rings of polynomial invariants of the alternating group have no finite SAGBI bases with respect to any admissible order.
"Jack P. C. Kleijnen, Willem J. H. Van Groenendaal",Measuring the quality of publications: new methodology and case study.
"Fabio Crestani, Puay Leng Lee",Searching the web by constrained spreading activation.
Alan F. Smeaton,TREC-6: personal highlights.
"Erica Cosijn, Peter Ingwersen",Dimensions of relevance.
Dmitri Roussinov,"Review - Slaves of the machine; Gregory J. E. Rawlins, MIT Press."
Brigitte Endres-Niggemeyer,SimSum: an empirically founded simulation of summarizing.
"Rila Mandala, Takenobu Tokunaga, Hozumi Tanaka",Query expansion using heterogeneous thesauri.
Ralf Hinze,Generalizing generalized tries.
"Gilles Barthe, Morten Heine Sørensen",Domain-free pure type systems.
J. Michael Spivey,Combinators for breadth-first search.
Daphne Q.-D. Pham,Molecular modeling of insect ferritins.
"Susan B. Davidson, Christian J. Stoeckert Jr.",In Memory of Chris Overton.
"Elena Barcucci, Sara Brunetti, Francesco Del Ristoro",Succession rules and deco polyominoes.
"Hans-Joachim Böckenhauer, Sebastian Seibert",Improved lower bounds on the approximability of the Traveling Salesman Problem.
Yannick Guesnet,On codes with finite interpreting delay: A defect theorem.
"Barry A. T. Brown, Mark Perry",Why don't telephones have off switches? Understanding the use of everyday technologies.
"S. Wolfson, G. Case",The effects of sound and colour on responses to a computer game.
"David Benyon, Dianne Murray",Special issue on intelligent interface technology: editor's introduction.
"Tunu Miah, James L. Alty",Vanishing Windows - a technique for adaptive window management.
"Arvin Agah, Kazuo Tanie",Intelligent graphical user interface design utilizing multiple fuzzy agents.
"Danny De Schreye, Robert Glück, Jesper Jørgensen, Michael Leuschel, Bern Martens, Morten Heine Sørensen","Erratum to: ""Conjunctive Partial Deduction: Foundations, Control, Algorithms and Experiments""."
"Rachel Ben-Eliyahu-Zohary, Luigi Palopoli, Victoria Zemlyanker",More on tractable disjunctive Datalog.
"Jia-Huai You, Li-Yan Yuan, Randy Goebel",An abductive approach to disjunctive logic programming.
"Grigoris Antoniou, Michael J. Maher, David Billington",Defeasible Logic versus Logic Programming without Negation as Failure.
Fausto Spoto,Operational and Goal-Independent Denotational Semantics for Prolog with Cut.
"Dov M. Gabbay, Laura Giordano, Alberto Martelli, Nicola Olivetti, Maria Luisa Sapino",Conditional reasoning in logic programming.
"Alex Dekhtyar, V. S. Subrahmanian",Hybrid Probabilistic Programs.
"N. Baupin, K. Zreik",Remote decision support system: a distributed information management system.
"Eric Tsui, Brian J. Garner, Steffen Staab",The role of artificial intelligence in knowledge management.
"Y. Li, C. Zhang, J. R. Swan",An information filtering model on the Web and its application in JobAgent.
"Ruth Aylett, Gary J. Petley, Paul W. H. Chung, B. Chen, David William Edwards",AI planning: solutions for real world problems.
"Martin Hirt, Ueli M. Maurer",Player Simulation and General Adversary Structures in Perfect Multiparty Computation.
"H. Zbinden, Nicolas Gisin, B. Huttner, A. Muller, W. Tittel",Practical Aspects of Quantum Cryptographic Key Distribution.
Quoc-Nam Tran,A Fast Algorithm for Gröbner Basis Conversion and its Applications.
Thomas Wolf,The Symbolic Integration of Exact PDEs.
"Reinhard C. Laubenbacher, Karen Schlauch",An Algorithm for the Quillen-Suslin Theorem for Quotients of Polynomial Rings by Monomial Ideals.
Manuel Bronstein,On Solutions of Linear Ordinary Difference Equations in their Coefficient Field.
Jean Marc Couveignes,Boundary of Hurwitz Spaces and Explicit Patching.
Uwe Petermann,Connection Calculus Theorem Proving with Multiple Built-in Theories.
Gunter Malle,Multi-parameter Polynomials with Given Galois Group.
Aloysius G. Helminck,Computing Orbits of Minimal Parabolic k-subgroups Acting on Symmetric k-varieties.
"Vincenzo Acciaro, Jürgen Klüners","Computing Local Artin Maps, and Solvability of Norm Equations."
Uli Walther,Algorithmic Computation of de Rham Cohomology of Complements of Complex Affine Varieties.
Marc Fuchs,Controlled Use of Clausal Lemmas in Connection Tableau Calculi.
